gene_name	uniprot_id	uniprot_len	mane_uniprot_id	mane_uniprot_len	accession_agrees	mane_refseq_nuc	mane_refseq_prot	mane_ensembl	mane_prot_len	numbering_ok
NT5DC4	Q86YG4	428	Q86YG4	428	TRUE	NM_001393655.1	NP_001380584.1	ENST00000688554.1	455	FALSE
REEP6	Q96HR9	211	Q96HR9	211	TRUE	NM_138393.4	NP_612402.1	ENST00000233596.8	184	FALSE
RUNX1	Q01196	453	Q01196	453	TRUE	NM_001754.5	NP_001745.2	ENST00000675419.1	480	FALSE
STMN4	Q9H169	189	Q9H169	189	TRUE	NM_030795.4	NP_110422.2	ENST00000350889.9	216	FALSE
TRIM2	Q9C040	744	Q9C040	744	TRUE	NM_015271.5	NP_056086.2	ENST00000338700.10	771	FALSE
TXNDC11	Q6PKC3	985	Q6PKC3	985	TRUE	NM_015914.7	NP_056998.4	ENST00000283033.10	958	FALSE
ZNF180	Q9UJW8	692	Q9UJW8	692	TRUE	NM_001278509.3	NP_001265438.2	ENST00000592529.6	665	FALSE
ARHGEF33	A8MVX0	844	A8MVX0	844	TRUE	NM_001145451.5	NP_001138923.2	ENST00000409978.7	870	FALSE
CERKL	Q49MI3	558	Q49MI3	558	TRUE	NM_201548.5	NP_963842.1	ENST00000410087.8	532	FALSE
CMTM4	Q8IZR5	234	Q8IZR5	234	TRUE	NM_181521.3	NP_852662.1	ENST00000394106.7	208	FALSE
KANSL3	Q9P2N6	904	Q9P2N6	904	TRUE	NM_001115016.3	NP_001108488.1	ENST00000431828.6	878	FALSE
KNL1	Q8NG31	2342	Q8NG31	2342	TRUE	NM_144508.5	NP_653091.3	ENST00000399668.7	2316	FALSE
LBHD1	Q9BQE6	289	Q9BQE6	289	TRUE	NM_024099.5	NP_077004.2	ENST00000354588.8	263	FALSE
NOTCH2NLB	P0DPK3	275	P0DPK3	275	TRUE	NM_001364008.2	NP_001350937.1	ENST00000593495.4	249	FALSE
SMURF1	Q9HCE7	757	Q9HCE7	757	TRUE	NM_181349.3	NP_851994.1	ENST00000361368.7	731	FALSE
SYNPO	Q8N3V7	929	Q8N3V7	929	TRUE	NM_007286.6	NP_009217.3	ENST00000307662.5	903	FALSE
TAF1C	Q15572	869	Q15572	869	TRUE	NM_001243156.2	NP_001230085.2	ENST00000566732.6	843	FALSE
TRIM4	Q9C037	500	Q9C037	500	TRUE	NM_033091.3	NP_149082.1	ENST00000349062.7	474	FALSE
TTC8	Q8TAM2	541	Q8TAM2	541	TRUE	NM_144596.4	NP_653197.2	ENST00000380656.7	515	FALSE
ACSL6	Q9UKU0	697	Q9UKU0	697	TRUE	NM_001009185.3	NP_001009185.1	ENST00000651883.2	722	FALSE
ARHGEF10	O15013	1369	O15013	1369	TRUE	NM_014629.4	NP_055444.2	ENST00000349830.8	1344	FALSE
BRCC3	P46736	316	P46736	316	TRUE	NM_001018055.3	NP_001018065.1	ENST00000330045.12	291	FALSE
C1orf162	Q8NEQ5	155	Q8NEQ5	155	TRUE	NM_001300834.2	NP_001287763.1	ENST00000369718.4	130	FALSE
CYFIP2	Q96F07	1278	Q96F07	1278	TRUE	NM_001037333.3	NP_001032410.1	ENST00000620254.5	1253	FALSE
MAK	P20794	623	P20794	623	TRUE	NM_001242957.3	NP_001229886.1	ENST00000354489.7	648	FALSE
MTO1	Q9Y2Z2	717	Q9Y2Z2	717	TRUE	NM_012123.4	NP_036255.2	ENST00000498286.6	692	FALSE
MUTYH	Q9UIF7	546	Q9UIF7	546	TRUE	NM_001048174.2	NP_001041639.1	ENST00000456914.7	521	FALSE
MYO5A	Q9Y4I1	1855	Q9Y4I1	1855	TRUE	NM_001382347.1	NP_001369276.1	ENST00000399233.7	1880	FALSE
PNPLA7	Q6ZV29	1317	Q6ZV29	1317	TRUE	NM_001098537.3	NP_001092007.2	ENST00000406427.6	1342	FALSE
SBF1	O95248	1868	O95248	1868	TRUE	NM_002972.4	NP_002963.2	ENST00000380817.8	1893	FALSE
VPS13B	Q7Z7G8	4022	Q7Z7G8	4022	TRUE	NM_152564.5	NP_689777.3	ENST00000357162.7	3997	FALSE
ALDH9A1	P49189	494	P49189	494	TRUE	NM_000696.4	NP_000687.3	ENST00000354775.5	518	FALSE
GRHL3	Q8TE85	626	Q8TE85	626	TRUE	NM_198173.3	NP_937816.1	ENST00000361548.9	602	FALSE
KDM1A	O60341	852	O60341	852	TRUE	NM_001009999.3	NP_001009999.1	ENST00000400181.9	876	FALSE
LYPD6B	Q8NI32	183	Q8NI32	183	TRUE	NM_177964.5	NP_808879.2	ENST00000409642.8	207	FALSE
MGRN1	O60291	552	O60291	552	TRUE	NM_015246.4	NP_056061.1	ENST00000262370.12	576	FALSE
MMD2	Q8IY49	270	Q8IY49	270	TRUE	NM_198403.4	NP_940685.3	ENST00000401401.8	246	FALSE
NRG3	P56975	720	P56975	720	TRUE	NM_001010848.4	NP_001010848.2	ENST00000372141.7	696	FALSE
PIGP	P57054	158	P57054	158	TRUE	NM_153682.3	NP_710149.1	ENST00000360525.9	134	FALSE
SLC4A9	Q96Q91	983	Q96Q91	983	TRUE	NM_031467.3	NP_113655.2	ENST00000506757.7	959	FALSE
SP110	Q9HB58	689	Q9HB58	689	TRUE	NM_080424.4	NP_536349.3	ENST00000258381.11	713	FALSE
TCF12	Q99081	682	Q99081	682	TRUE	NM_207037.2	NP_996920.1	ENST00000333725.10	706	FALSE
TMEM234	Q8WY98	164	Q8WY98	164	TRUE	NM_019118.5	NP_061991.3	ENST00000309777.11	140	FALSE
TMEM255A	Q5JRV8	349	Q5JRV8	349	TRUE	NM_001104544.3	NP_001098014.1	ENST00000371369.9	325	FALSE
TMEM273	Q5T292	105	Q5T292	105	TRUE	NM_001288740.3	NP_001275669.1	ENST00000374153.7	129	FALSE
TSC22D2	O75157	780	O75157	780	TRUE	NM_001303264.2	NP_001290193.1	ENST00000688009.1	756	FALSE
AGAP6	Q5VW22	663	Q5VW22	663	TRUE	NM_001077665.3	NP_001071133.2	ENST00000412531.7	686	FALSE
AGRN	O00468	2068	O00468	2068	TRUE	NM_198576.4	NP_940978.2	ENST00000379370.7	2045	FALSE
C5orf63	A6NC05	138	A6NC05	138	TRUE	NM_001164478.2	NP_001157950.1	ENST00000296662.10	115	FALSE
CDON	Q4KMG0	1287	Q4KMG0	1287	TRUE	NM_001378964.1	NP_001365893.1	ENST00000531738.6	1264	FALSE
EPC1	Q9H2F5	836	Q9H2F5	836	TRUE	NM_001272004.3	NP_001258933.1	ENST00000319778.11	813	FALSE
FAM177A1	Q8N128	213	Q8N128	213	TRUE	NM_173607.5	NP_775878.2	ENST00000280987.9	236	FALSE
FLACC1	Q96Q35	445	Q96Q35	445	TRUE	NM_001127391.3	NP_001120863.1	ENST00000392257.8	422	FALSE
LCN8	Q6JVE9	175	Q6JVE9	175	TRUE	NM_178469.4	NP_848564.2	ENST00000371688.8	152	FALSE
LDHD	Q86WU2	507	Q86WU2	507	TRUE	NM_194436.3	NP_919417.1	ENST00000450168.3	484	FALSE
MACROD2	A1Z1Q3	425	A1Z1Q3	425	TRUE	NM_001351661.2	NP_001338590.1	ENST00000684519.1	448	FALSE
MS4A6A	Q9H2W1	248	Q9H2W1	248	TRUE	NM_022349.4	NP_071744.2	ENST00000528851.6	225	FALSE
PAX2	Q02962	417	Q02962	417	TRUE	NM_000278.5	NP_000269.3	ENST00000355243.8	394	FALSE
POU2F1	P14859	743	P14859	743	TRUE	NM_002697.4	NP_002688.3	ENST00000367866.7	766	FALSE
SLC12A5	Q9H2X9	1139	Q9H2X9	1139	TRUE	NM_020708.5	NP_065759.1	ENST00000243964.7	1116	FALSE
SLC2A14	Q8TDB8	520	Q8TDB8	520	TRUE	NM_001286234.2	NP_001273163.1	ENST00000431042.7	497	FALSE
ACTN1	P12814	892	P12814	892	TRUE	NM_001130004.2	NP_001123476.1	ENST00000394419.9	914	FALSE
ANXA7	P20073	488	P20073	488	TRUE	NM_001156.5	NP_001147.1	ENST00000372921.10	466	FALSE
AP2A1	O95782	977	O95782	977	TRUE	NM_130787.3	NP_570603.2	ENST00000354293.10	955	FALSE
C9orf85	Q96MD7	179	Q96MD7	179	TRUE	NM_182505.5	NP_872311.2	ENST00000334731.7	157	FALSE
CDC42BPA	Q5VT25	1732	Q5VT25	1732	TRUE	NM_001394014.1	NP_001380943.1	ENST00000366766.8	1754	FALSE
F7	P08709	466	P08709	466	TRUE	NM_019616.4	NP_062562.1	ENST00000346342.8	444	FALSE
FAIM	Q9NVQ4	179	Q9NVQ4	179	TRUE	NM_001033031.2	NP_001028203.1	ENST00000360570.8	201	FALSE
FOXN3	O00409	490	O00409	490	TRUE	NM_005197.4	NP_005188.2	ENST00000557258.6	468	FALSE
HNF4A	P41235	474	P41235	474	TRUE	NM_175914.5	NP_787110.2	ENST00000316673.9	452	FALSE
LGALS12	Q96DT0	336	Q96DT0	336	TRUE	NM_033101.4	NP_149092.3	ENST00000394618.9	314	FALSE
P2RX5	Q93086	444	Q93086	444	TRUE	NM_002561.4	NP_002552.2	ENST00000225328.10	422	FALSE
POMT1	Q9Y6A1	747	Q9Y6A1	747	TRUE	NM_001077365.2	NP_001070833.1	ENST00000402686.8	725	FALSE
SYNE2	Q8WXH0	6885	Q8WXH0	6885	TRUE	NM_182914.3	NP_878918.2	ENST00000555002.6	6907	FALSE
TBC1D5	Q92609	795	Q92609	795	TRUE	NM_001349074.2	NP_001336003.1	ENST00000696125.1	817	FALSE
TLK2	Q86UE8	772	Q86UE8	772	TRUE	NM_006852.6	NP_006843.2	ENST00000346027.10	750	FALSE
TRPM1	Q7Z4N2	1603	Q7Z4N2	1603	TRUE	NM_001252024.2	NP_001238953.1	ENST00000256552.11	1625	FALSE
CCP110	O43303	1012	O43303	1012	TRUE	NM_001323572.2	NP_001310501.1	ENST00000694978.1	991	FALSE
CD200R1L	Q6Q8B3	271	Q6Q8B3	271	TRUE	NM_001199215.3	NP_001186144.1	ENST00000488794.6	250	FALSE
DUSP22	Q9NRW4	184	Q9NRW4	184	TRUE	NM_001286555.3	NP_001273484.1	ENST00000419235.7	205	FALSE
ENAH	Q8N8S7	591	Q8N8S7	591	TRUE	NM_018212.6	NP_060682.2	ENST00000366843.7	570	FALSE
EYS	Q5T1H1	3165	Q5T1H1	3165	TRUE	NM_001142800.2	NP_001136272.1	ENST00000503581.6	3144	FALSE
GPR137	Q96N19	417	Q96N19	417	TRUE	NM_001170880.2	NP_001164351.1	ENST00000438980.7	396	FALSE
GUK1	Q16774	197	Q16774	197	TRUE	NM_001159390.2	NP_001152862.1	ENST00000453943.6	218	FALSE
LMNTD1	Q8N9Z9	388	Q8N9Z9	388	TRUE	NM_001145728.2	NP_001139200.1	ENST00000458174.7	409	FALSE
LY6H	O94772	140	O94772	140	TRUE	NM_001135655.2	NP_001129127.1	ENST00000342752.9	161	FALSE
PKP1	Q13835	747	Q13835	747	TRUE	NM_001005337.3	NP_001005337.1	ENST00000367324.8	726	FALSE
PLOD2	O00469	737	O00469	737	TRUE	NM_182943.3	NP_891988.1	ENST00000282903.10	758	FALSE
SIPA1L1	O43166	1804	O43166	1804	TRUE	NM_001386936.1	NP_001373865.1	ENST00000381232.8	1783	FALSE
VCF1	Q969W3	186	Q969W3	186	TRUE	NM_001098832.2	NP_001092302.1	ENST00000405159.8	207	FALSE
WBP1L	Q9NX94	342	Q9NX94	342	TRUE	NM_001083913.2	NP_001077382.1	ENST00000448841.7	363	FALSE
CECR2	Q9BXF3	1484	Q9BXF3	1484	TRUE	NM_001290047.2	NP_001276976.1	ENST00000262608.13	1464	FALSE
MPST	P25325	297	P25325	297	TRUE	NM_021126.8	NP_066949.2	ENST00000429360.6	317	FALSE
OLFM3	Q96PB7	478	Q96PB7	478	TRUE	NM_058170.4	NP_477518.2	ENST00000370103.9	458	FALSE
PAGE5	Q96GU1	130	Q96GU1	130	TRUE	NM_001013435.3	NP_001013453.1	ENST00000374955.8	110	FALSE
SAMD13	Q5VXD3	122	Q5VXD3	122	TRUE	NM_001134663.2	NP_001128135.1	ENST00000394834.8	102	FALSE
SERPINB12	Q96P63	405	Q96P63	405	TRUE	NM_001307928.2	NP_001294857.1	ENST00000382768.2	425	FALSE
SERPINE3	A8MV23	424	A8MV23	424	TRUE	NM_001386375.1	NP_001373304.1	ENST00000681248.1	404	FALSE
SLC41A3	Q96GZ6	507	Q96GZ6	507	TRUE	NM_017836.4	NP_060306.4	ENST00000360370.9	487	FALSE
SYNPR	Q8TBG9	265	Q8TBG9	265	TRUE	NM_001130003.2	NP_001123475.1	ENST00000478300.6	285	FALSE
TAF1	P21675	1893	P21675	1893	TRUE	NM_004606.5	NP_004597.3	ENST00000423759.6	1873	FALSE
TBX3	O15119	743	O15119	743	TRUE	NM_005996.4	NP_005987.3	ENST00000349155.7	723	FALSE
USP47	Q96K76	1375	Q96K76	1375	TRUE	NM_001282659.2	NP_001269588.1	ENST00000527733.7	1355	FALSE
ZGPAT	Q8N5A5	531	Q8N5A5	531	TRUE	NM_181485.3	NP_852150.2	ENST00000355969.11	511	FALSE
ZNF385A	Q96PM9	386	Q96PM9	386	TRUE	NM_015481.3	NP_056296.1	ENST00000394313.7	366	FALSE
ZNF683	Q8IZ20	524	Q8IZ20	524	TRUE	NM_001114759.3	NP_001108231.1	ENST00000349618.8	504	FALSE
AP3B2	Q13367	1082	Q13367	1082	TRUE	NM_001278512.2	NP_001265441.1	ENST00000535359.6	1101	FALSE
ARHGAP9	Q9BRR9	750	Q9BRR9	750	TRUE	NM_032496.4	NP_115885.2	ENST00000393791.8	731	FALSE
ATP8B2	P98198	1209	P98198	1209	TRUE	NM_001370597.1	NP_001357526.1	ENST00000368489.6	1190	FALSE
CAPS2	Q9BXY5	538	Q9BXY5	538	TRUE	NM_001355024.4	NP_001341953.2	ENST00000699294.1	557	FALSE
ELAVL4	P26378	385	P26378	385	TRUE	NM_001144774.3	NP_001138246.1	ENST00000371824.7	366	FALSE
EOMES	O95936	686	O95936	686	TRUE	NM_001278182.2	NP_001265111.1	ENST00000449599.4	705	FALSE
HIC1	Q14526	733	Q14526	733	TRUE	NM_006497.4	NP_006488.2	ENST00000619757.5	714	FALSE
KCNJ1	P48048	391	P48048	391	TRUE	NM_153766.3	NP_722450.1	ENST00000392666.6	372	FALSE
LCN9	Q8WX39	176	Q8WX39	176	TRUE	NM_001393661.1	NP_001380590.1	ENST00000619315.2	157	FALSE
NANOS3	P60323	173	P60323	173	TRUE	NM_001098622.3	NP_001092092.1	ENST00000339133.6	192	FALSE
SAP18	O00422	153	O00422	153	TRUE	NM_005870.5	NP_005861.2	ENST00000382533.9	172	FALSE
SIMC1	Q8NDZ2	872	Q8NDZ2	872	TRUE	NM_001308195.2	NP_001295124.1	ENST00000429602.7	891	FALSE
SYT14	Q8NB59	555	Q8NB59	555	TRUE	NM_001146262.4	NP_001139734.1	ENST00000367019.6	574	FALSE
TMPRSS13	Q9BYE2	586	Q9BYE2	586	TRUE	NM_001077263.3	NP_001070731.1	ENST00000524993.6	567	FALSE
TMTC4	Q5T4D3	741	Q5T4D3	741	TRUE	NM_032813.5	NP_116202.2	ENST00000342624.10	760	FALSE
ZNF182	P17025	639	P17025	639	TRUE	NM_001007088.2	NP_001007089.1	ENST00000376943.8	620	FALSE
ZNF875	P10072	659	P10072	659	TRUE	NM_001353803.2	NP_001340732.1	ENST00000392153.8	640	FALSE
BAIAP2	Q9UQB8	552	Q9UQB8	552	TRUE	NM_001144888.2	NP_001138360.1	ENST00000428708.7	534	FALSE
CLIC6	Q96NY7	704	Q96NY7	704	TRUE	NM_053277.3	NP_444507.1	ENST00000349499.3	686	FALSE
CUL4B	Q13620	913	Q13620	913	TRUE	NM_001079872.2	NP_001073341.1	ENST00000371322.11	895	FALSE
GAPVD1	Q14C86	1478	Q14C86	1478	TRUE	NM_001282680.3	NP_001269609.1	ENST00000297933.11	1460	FALSE
HOPX	Q9BPY8	73	Q9BPY8	73	TRUE	NM_032495.6	NP_115884.4	ENST00000420433.6	91	FALSE
NFAT5	O94916	1531	O94916	1531	TRUE	NM_138713.4	NP_619727.2	ENST00000349945.7	1549	FALSE
OTOP3	Q7RTS5	596	Q7RTS5	596	TRUE	NM_001272005.2	NP_001258934.1	ENST00000328801.6	578	FALSE
RGS6	P49758	472	P49758	472	TRUE	NM_001204424.2	NP_001191353.1	ENST00000553525.6	490	FALSE
SLC22A17	Q8WUG5	649	Q8WUG5	649	TRUE	NM_016609.7	NP_057693.4	ENST00000354772.10	631	FALSE
SP8	Q8IXZ3	490	Q8IXZ3	490	TRUE	NM_182700.6	NP_874359.2	ENST00000418710.3	508	FALSE
SYPL1	Q16563	259	Q16563	259	TRUE	NM_182715.4	NP_874384.1	ENST00000455385.7	241	FALSE
TMEM217	Q8N7C4	229	Q8N7C4	229	TRUE	NM_001286401.2	NP_001273330.1	ENST00000651039.2	211	FALSE
TOX2	Q96NM4	488	Q96NM4	488	TRUE	NM_001098797.2	NP_001092267.1	ENST00000341197.9	506	FALSE
WNT8A	Q9H1J5	351	Q9H1J5	351	TRUE	NM_001300939.2	NP_001287868.1	ENST00000506684.6	369	FALSE
ABCB8	Q9NUT2	735	Q9NUT2	735	TRUE	NM_007188.5	NP_009119.2	ENST00000358849.9	718	FALSE
APOBEC3H	Q6NTF7	200	Q6NTF7	200	TRUE	NM_181773.5	NP_861438.3	ENST00000442487.8	183	FALSE
CCL23	P55773	120	P55773	120	TRUE	NM_005064.6	NP_005055.3	ENST00000615050.2	137	FALSE
CD84	Q9UIB8	345	Q9UIB8	345	TRUE	NM_003874.4	NP_003865.1	ENST00000368054.8	328	FALSE
DYNC1I1	O14576	645	O14576	645	TRUE	NM_001135556.2	NP_001129028.1	ENST00000447467.6	628	FALSE
NUP98	P52948	1817	P52948	1817	TRUE	NM_016320.5	NP_057404.2	ENST00000324932.12	1800	FALSE
RAD51AP1	Q96B01	352	Q96B01	352	TRUE	NM_006479.5	NP_006470.1	ENST00000352618.9	335	FALSE
RUNDC3B	Q96NL0	473	Q96NL0	473	TRUE	NM_001134405.2	NP_001127877.1	ENST00000394654.4	456	FALSE
TBC1D15	Q8TC07	691	Q8TC07	691	TRUE	NM_001146213.3	NP_001139685.2	ENST00000485960.7	674	FALSE
TBC1D9B	Q66K14	1250	Q66K14	1250	TRUE	NM_015043.4	NP_055858.2	ENST00000355235.8	1233	FALSE
TPD52	P55327	224	P55327	224	TRUE	NM_001025253.3	NP_001020424.1	ENST00000518937.6	207	FALSE
CD96	P40200	585	P40200	585	TRUE	NM_005816.5	NP_005807.1	ENST00000352690.9	569	FALSE
CEP78	Q5JTW2	689	Q5JTW2	689	TRUE	NM_001330691.3	NP_001317620.1	ENST00000643273.2	705	FALSE
CHL1	O00533	1208	O00533	1208	TRUE	NM_006614.4	NP_006605.2	ENST00000256509.7	1224	FALSE
DNMT1	P26358	1616	P26358	1616	TRUE	NM_001130823.3	NP_001124295.1	ENST00000359526.9	1632	FALSE
DPP8	Q6V1X1	898	Q6V1X1	898	TRUE	NM_130434.5	NP_569118.1	ENST00000300141.11	882	FALSE
IL25	Q9H293	177	Q9H293	177	TRUE	NM_172314.2	NP_758525.1	ENST00000397242.3	161	FALSE
IRF5	Q13568	498	Q13568	498	TRUE	NM_001098629.3	NP_001092099.1	ENST00000357234.10	514	FALSE
KLHL13	Q9P2N7	655	Q9P2N7	655	TRUE	NM_001168302.2	NP_001161774.1	ENST00000540167.6	639	FALSE
NTRK2	Q16620	822	Q16620	822	TRUE	NM_006180.6	NP_006171.2	ENST00000277120.8	838	FALSE
PABPC4	Q13310	644	Q13310	644	TRUE	NM_001135653.2	NP_001129125.1	ENST00000372858.8	660	FALSE
RAB3IP	Q96QF0	476	Q96QF0	476	TRUE	NM_022456.5	NP_071901.2	ENST00000247833.12	460	FALSE
RASGRF1	Q13972	1273	Q13972	1273	TRUE	NM_001145648.3	NP_001139120.1	ENST00000558480.7	1257	FALSE
SLC4A5	Q9BY07	1137	Q9BY07	1137	TRUE	NM_133478.3	NP_597812.1	ENST00000394019.7	1121	FALSE
SPATA20	Q8TB22	786	Q8TB22	786	TRUE	NM_022827.4	NP_073738.2	ENST00000006658.11	802	FALSE
SPINT1	O43278	529	O43278	529	TRUE	NM_003710.4	NP_003701.1	ENST00000562057.6	513	FALSE
ZNF207	O43670	478	O43670	478	TRUE	NM_001098507.2	NP_001091977.1	ENST00000394670.9	494	FALSE
ZNF619	Q8N2I2	560	Q8N2I2	560	TRUE	NM_001145093.4	NP_001138565.1	ENST00000432264.4	576	FALSE
BCAS3	Q9H6U6	928	Q9H6U6	928	TRUE	NM_017679.5	NP_060149.3	ENST00000407086.8	913	FALSE
CD46	P15529	392	P15529	392	TRUE	NM_172351.3	NP_758861.1	ENST00000367042.6	377	FALSE
EMSY	Q7Z589	1322	Q7Z589	1322	TRUE	NM_001300942.2	NP_001287871.1	ENST00000695367.1	1337	FALSE
FBF1	Q8TES7	1133	Q8TES7	1133	TRUE	NM_001319193.2	NP_001306122.1	ENST00000636174.2	1148	FALSE
GLOD4	Q9HC38	313	Q9HC38	313	TRUE	NM_016080.4	NP_057164.3	ENST00000301329.11	298	FALSE
GTF2IRD1	Q9UHL9	959	Q9UHL9	959	TRUE	NM_005685.4	NP_005676.3	ENST00000424337.7	944	FALSE
KCNK16	Q96T55	309	Q96T55	309	TRUE	NM_001135106.2	NP_001128578.1	ENST00000437525.3	294	FALSE
KREMEN1	Q96MU8	473	Q96MU8	473	TRUE	NM_001039570.3	NP_001034659.2	ENST00000400335.9	458	FALSE
KRTAP9-9	Q9BYP9	154	Q9BYP9	154	TRUE	NM_030975.2	NP_112237.2	ENST00000394008.1	169	FALSE
PACS2	Q86VP3	889	Q86VP3	889	TRUE	NM_001100913.3	NP_001094383.2	ENST00000447393.6	904	FALSE
PAK3	O75914	559	O75914	559	TRUE	NM_002578.5	NP_002569.1	ENST00000372007.10	544	FALSE
PDGFA	P04085	211	P04085	211	TRUE	NM_033023.5	NP_148983.1	ENST00000402802.8	196	FALSE
PRKG1	Q13976	671	Q13976	671	TRUE	NM_006258.4	NP_006249.1	ENST00000373980.11	686	FALSE
SERBP1	Q8NC51	408	Q8NC51	408	TRUE	NM_001018069.2	NP_001018079.1	ENST00000361219.11	393	FALSE
SPAAR	A0A1B0GVQ0	90	A0A1B0GVQ0	90	TRUE	NM_001348107.3	NP_001335036.2	ENST00000443779.3	75	FALSE
TDRD10	Q5VZ19	366	Q5VZ19	366	TRUE	NM_182499.4	NP_872305.3	ENST00000368482.8	351	FALSE
TEX11	Q8IYF3	940	Q8IYF3	940	TRUE	NM_031276.3	NP_112566.2	ENST00000374333.7	925	FALSE
VIT	Q6UXI7	678	Q6UXI7	678	TRUE	NM_053276.4	NP_444506.2	ENST00000379242.8	693	FALSE
XG	P55808	180	P55808	180	TRUE	NM_001141919.2	NP_001135391.1	ENST00000644266.2	195	FALSE
AEBP2	Q6ZN18	517	Q6ZN18	517	TRUE	NM_153207.5	NP_694939.2	ENST00000266508.14	503	FALSE
AMELY	Q99218	206	Q99218	206	TRUE	NM_001143.2	NP_001134.1	ENST00000651267.2	192	FALSE
AP2B1	P63010	937	P63010	937	TRUE	NM_001030006.2	NP_001025177.1	ENST00000610402.5	951	FALSE
APTX	Q7Z2E3	356	Q7Z2E3	356	TRUE	NM_001195248.2	NP_001182177.2	ENST00000379817.7	342	FALSE
CCR2	P41597	374	P41597	374	TRUE	NM_001123396.4	NP_001116868.1	ENST00000445132.3	360	FALSE
CDK5RAP1	Q96SZ6	601	Q96SZ6	601	TRUE	NM_016408.4	NP_057492.2	ENST00000346416.7	587	FALSE
KIF21B	O75037	1637	O75037	1637	TRUE	NM_001252102.2	NP_001239031.1	ENST00000461742.7	1623	FALSE
OTOA	Q7RTW8	1153	Q7RTW8	1153	TRUE	NM_144672.4	NP_653273.3	ENST00000646100.2	1139	FALSE
PAX6	P26367	422	P26367	422	TRUE	NM_001368894.2	NP_001355823.1	ENST00000640368.2	436	FALSE
ZNF641	Q96N77	438	Q96N77	438	TRUE	NM_001172681.2	NP_001166152.1	ENST00000547026.6	424	FALSE
ACOT11	Q8WXI4	607	Q8WXI4	607	TRUE	NM_147161.4	NP_671517.1	ENST00000343744.7	594	FALSE
CDK11B	P21127	795	P21127	795	TRUE	NM_033486.3	NP_277021.2	ENST00000341832.11	782	FALSE
CRIP3	Q6Q6R5	217	Q6Q6R5	217	TRUE	NM_206922.3	NP_996805.2	ENST00000372569.8	204	FALSE
CRISP3	P54108	245	P54108	245	TRUE	NM_006061.4	NP_006052.2	ENST00000263045.9	258	FALSE
HNRNPC	P07910	306	P07910	306	TRUE	NM_004500.4	NP_004491.2	ENST00000553300.6	293	FALSE
LCN10	Q6JVE6	187	Q6JVE6	187	TRUE	NM_001001712.3	NP_001001712.2	ENST00000497771.6	200	FALSE
MCEMP1	Q8IX19	187	Q8IX19	187	TRUE	NM_174918.3	NP_777578.3	ENST00000333598.8	174	FALSE
MFSD2A	Q8NA29	543	Q8NA29	543	TRUE	NM_032793.5	NP_116182.2	ENST00000372811.10	530	FALSE
NTF3	P20783	257	P20783	257	TRUE	NM_001102654.2	NP_001096124.1	ENST00000423158.4	270	FALSE
PARP2	Q9UGN5	583	Q9UGN5	583	TRUE	NM_001042618.2	NP_001036083.1	ENST00000429687.8	570	FALSE
PTPRM	P28827	1452	P28827	1452	TRUE	NM_001105244.2	NP_001098714.1	ENST00000580170.6	1465	FALSE
RBPJ	Q06330	500	Q06330	500	TRUE	NM_015874.6	NP_056958.3	ENST00000355476.8	487	FALSE
SET	Q01105	290	Q01105	290	TRUE	NM_003011.4	NP_003002.2	ENST00000322030.13	277	FALSE
SGCZ	Q96LD1	299	Q96LD1	299	TRUE	NM_139167.4	NP_631906.2	ENST00000382080.6	312	FALSE
SLC22A6	Q4U2R8	563	Q4U2R8	563	TRUE	NM_153276.3	NP_695008.1	ENST00000360421.9	550	FALSE
TRPM3	Q9HCF6	1732	Q9HCF6	1732	TRUE	NM_001366145.2	NP_001353074.1	ENST00000677713.2	1719	FALSE
TRPS1	Q9UHF7	1281	Q9UHF7	1281	TRUE	NM_014112.5	NP_054831.2	ENST00000395715.8	1294	FALSE
ZNF211	Q13398	564	Q13398	564	TRUE	NM_006385.5	NP_006376.2	ENST00000240731.5	577	FALSE
ZNF534	Q76KX8	674	Q76KX8	674	TRUE	NM_001143938.3	NP_001137410.1	ENST00000433050.6	661	FALSE
ABCG1	P45844	678	P45844	678	TRUE	NM_016818.3	NP_058198.2	ENST00000398449.8	666	FALSE
APLP2	Q06481	763	Q06481	763	TRUE	NM_001142276.2	NP_001135748.1	ENST00000338167.10	751	FALSE
AQP12B	A6NM10	295	A6NM10	295	TRUE	NM_001102467.2	NP_001095937.1	ENST00000407834.4	307	FALSE
CACNA2D1	P54289	1103	P54289	1103	TRUE	NM_000722.4	NP_000713.2	ENST00000356860.8	1091	FALSE
CHFR	Q96EP1	664	Q96EP1	664	TRUE	NM_001161346.2	NP_001154818.1	ENST00000450056.7	652	FALSE
GABPB1	Q06547	395	Q06547	395	TRUE	NM_016654.5	NP_057738.1	ENST00000380877.8	383	FALSE
GPNMB	Q14956	572	Q14956	572	TRUE	NM_002510.3	NP_002501.1	ENST00000258733.9	560	FALSE
HNRNPA2B1	P22626	353	P22626	353	TRUE	NM_002137.4	NP_002128.1	ENST00000618183.5	341	FALSE
JRK	O75564	556	O75564	556	TRUE	NM_003724.4	NP_003715.3	ENST00000612905.2	568	FALSE
LIMS1	P48059	325	P48059	325	TRUE	NM_001193483.3	NP_001180412.1	ENST00000544547.6	337	FALSE
MAP4K1	Q92918	833	Q92918	833	TRUE	NM_001042600.3	NP_001036065.1	ENST00000396857.7	821	FALSE
